@relation ArabicTextComplexity

@attribute avgSentenceLength numeric
@attribute avgWordLength numeric
@attribute typeTokenRatio numeric
@attribute longWordRatio numeric
@attribute consonantClusterRatio numeric
@attribute complexityLevel {A,B,C,A+,B+}

@data
5,5.2,1,0.2,3,A
2,5.5,1,0,2,A
2,4,1,0,1,A
3,4.333333,1,0,2.333333,A
2,4.5,1,0,1,A
3,4.666667,1,0.333333,1.666667,A
2,5,1,0,3.5,A
3,5,1,0,2,A
2,5,1,0.5,2.5,A
3,4.333333,1,0,1.666667,A
3,4.333333,1,0,2,A
2,5.5,1,0,2,A
3,4,1,0,1,A
2,6,1,0.5,2,A
2,4.5,1,0,1,A
3,4,1,0,1.333333,A
2,5,1,0,1.5,A
2,6,1,0.5,2.5,A
3,5.333333,1,0,1,A
3,4,1,0,0.666667,A
2,4.5,1,0,1,A
2,4.5,1,0,2,A
2,3.5,1,0,1.5,A
3,4.333333,1,0.333333,1,A
2,4,1,0,1,A
2,4.5,1,0,2,A
3,5.333333,1,0.333333,3.666667,A
3,4.333333,1,0,1.666667,A
2,3.5,1,0,2.5,A
4,4.75,1,0.25,1.5,A
2,4.5,1,0,2,A
3,4.666667,1,0.333333,1,A
3,5,1,0.333333,2.333333,A
2,5,1,0,1.5,A
3,3.666667,1,0,1.333333,A
3,5,1,0,1.333333,A
4,3.75,1,0,1,A
2,4.5,1,0,2,A
2,6,1,0.5,3.5,A
3,4.666667,1,0,1.666667,A
2,5.5,1,0,3,A
3,4.333333,1,0,1.333333,A
4,4.25,1,0,1.25,A
2,4.5,1,0,1,A
3,5,1,0,2.333333,A
2,4.5,1,0,1.5,A
3,4.333333,1,0,1.666667,A
4,5,1,0.25,1.75,A
3,3.666667,1,0,1.333333,A
2,5,1,0,3.5,A
3,4.666667,1,0.333333,1.333333,A
2,4.5,1,0,1.5,A
3,4.666667,1,0,1.666667,A
3,3.333333,1,0,0.666667,A
2,5.5,1,0,1,A
3,4.666667,1,0.333333,0.666667,A
3,5.333333,1,0.333333,1.666667,A
3,5,1,0.333333,2,A
3,5,1,0,1,A
3,3.666667,1,0,0.333333,A
3,5,1,0.333333,1.333333,A
3,5.333333,1,0.333333,1.333333,A
3,5,1,0,2.666667,A
4,4,1,0,1.25,A
3,4.666667,1,0,2.333333,A
2,6,1,0.5,2,A
2,4.5,1,0,2.5,A
3,4.666667,1,0.333333,1.666667,A
3,4,1,0,1,A
2,4.5,1,0,1,A
3,4,1,0,1,A
3,3.666667,1,0,1.666667,A
3,5,1,0.333333,2,A
3,4.333333,1,0,2,A
3,4.666667,1,0,2.333333,A
2,6.5,1,0.5,2.5,A
3,4.333333,1,0,1.333333,A
2,4.5,1,0,1,A
4,4.75,1,0.25,2,A
4,3.5,1,0,1,A
3,4,1,0,1,A
3,4.666667,1,0,2,A
3,3.666667,1,0,1,A
3,5.333333,1,0.333333,1,A
3,5.333333,1,0.333333,1,A
3,5.666667,1,0.333333,2,A
4,4,1,0.25,1.25,A
3,3.666667,1,0,1,A
2,4.5,1,0,1,A
4,4.75,1,0.25,1.5,A
2,6,1,0,1.5,A
4,4.25,1,0,1,A
3,4,1,0,1,A
2,5,1,0,1,A
3,4.333333,1,0,1.333333,A
4,4.5,1,0,2,A
2,6,1,0.5,2.5,A
3,4.333333,1,0,1.333333,A
2,6,1,0.5,3.5,A
4,4,1,0,0.75,A
2,4.5,1,0,2,A
3,4,1,0,1,A
3,5,1,0.333333,0.666667,A
4,4.5,1,0,1,A
3,4.666667,1,0.333333,1.333333,A
3,4.333333,1,0,1.333333,A
3,5.666667,1,0.333333,1.666667,A
3,5,1,0.333333,1,A
3,4.333333,1,0,2,A
4,4.5,1,0,1.75,A
3,4.333333,1,0,1.666667,A
3,4.666667,1,0,2,A
4,4.5,1,0,1.25,A
3,5.333333,1,0,2.666667,A
4,4.75,1,0.25,1.25,A
4,4.25,1,0.25,1.5,A
3,4.666667,1,0,1.333333,A
3,5,1,0.333333,1.333333,A
4,3.5,1,0,1.25,A
3,6,1,0.333333,1.666667,A
3,4.666667,1,0.333333,1.333333,A
4,4.5,1,0.25,1.75,A
3,5,1,0,2,A
4,4.5,1,0.25,1,A
3,4.333333,1,0,1.333333,A
